ShopName,Date,Prefecture,Phone,genres
Regene cafe（リジェネカフェ）,2019-09-27,兵庫県,090-3272-8481,None
TABLES steam hot pot,2019-09-26,東京都,03-6910-3550,None
ALL SUNDAY（オールサンデー）,2019-09-25,兵庫県,078-803-8667,None
CAFÉ KITSUNÉ ROASTERY カフェ キツネ ロースタリー,2019-09-25,岡山県,086,None
Nine Doors（ナインドアーズ）,2019-09-24,福岡県,092-260-9185,None
EXBAR TOKYO（エクスバー トーキョー）,2019-09-22,東京都,03-6263-8437,None
CAFÉ EMPATHY,2019-09-22,福岡県,092-441-3143,None
Morimoto KYOTO,2019-09-21,京都府,075-746-7718,None
LUMETO COFFEE （ルメートコーヒー）,2019-09-20,福島県,024-983-1257,None
Cafe Contrail,2019-09-20,北海道,011-521-2587,None
ポケモンセンターオーサカDX ＆ ポケモンカフェ,2019-09-20,大阪府,06-6271-1231,None
UPGRADE Plant based kitchen,2019-09-20,大阪府,06-6271-1231,None
Restaurant&Cafe TUFFE TERRACE EAT,2019-09-20,大阪府,06-6258-0288,None
シアターカフェ天狼院,2019-09-19,東京都,03-6812-1984,None
ランドリーカフェ大和深見西店,2019-09-19,神奈川県,,None
キハチ カフェ 東急百貨店たまプラーザ店,2019-09-18,神奈川県,045-903-2428,None
HAKKO MONZEN ~Craft Food Parlor~,2019-09-17,長野県,026-217-7391,None
べじかふぇ wo’s（ウーズ）,2019-09-17,京都府,090-5965-5044,None
ROOM,2019-09-16,熊本県,096-355-5537,None
CHASEN カフェ,2019-09-16,熊本県,096-285-9336,None
くまモンビレッジ,2019-09-15,熊本県,096-325-8226,None
カフェモロゾフ サクラマチ熊本店,2019-09-15,熊本県,096-354-1881,None
RHC カフェサクラマチ熊本店,2019-09-15,熊本県,096-234-6893,None
POWDER ART CAFE HARAJUKU,2019-09-14,東京都,03-5485-3440,None
cafe 赤居文庫,2019-09-14,秋田県,018-801-5001,None
Ivorish熊本桜町,2019-09-14,熊本県,096-355-5504,None
からふね屋CAFEイオン藤井寺ショッピングセンター店,2019-09-13,大阪府,072-931-7717,None
eggslut 新宿サザンテラス店,2019-09-12,東京都,03-6773-0424,None
SWITCH ZERO CAFE with FUGADOR SUMIDA,2019-09-12,東京都,,None
ベーカリーカフェ ココラデ上田店,2019-09-10,長野県,0268-75-5328,None
YELLOW MARKS,2019-09-09,東京都,03-6416-5955,None
Himeginger（ヒメジンジャー）姫路駅南店,2019-09-08,兵庫県,090-3490-0431,None
原町カフェ,2019-09-08,埼玉県,080-7077-2019,None
Ancoco cafe,2019-09-08,大分県,097-510-5385,None
TUFFE TERRACE EAT（トゥッフェ テラスイート）,2019-09-07,,06-6258-0288,None
Café Cova Milano GINZA SIX,2019-09-07,東京都,03-3289-3755,None
Blue THE Berry（ブルー ザ ベリー）,2019-09-07,東京都,03-5856-3888,None
Aldewarth the cafe,2019-09-05,群馬県,0270-61-8613,None
VERY FANCY®︎ OMOTESANDO,2019-09-04,東京都,080-3113-5135,None
Bistro LAVAROCK 丸の内,2019-09-03,東京都,03-6812-2971,None
T‘s Barist×新町居酒屋 ラテ丸,2019-09-01,熊本県,096-323-0001,None
古民家カフェ Fumoku,2019-09-01,長野県,070-1490-7716,None
カフェ・ド・クレア東長崎店,2019-08-31,東京都,03-3565-6153,None
はすの香カフェ,2019-08-31,埼玉県,049-214-1814,None
和ごころ茶房 咲夢（えむ）,2019-08-31,愛知県,0566-95-5556,None
アニメイトカフェグラッテ渋谷,2019-08-30,東京都,03-5458-2454,None
タイムスリップカフェ OLD WAYS 三丁目の米乃家,2019-08-29,愛知県,0587-37-4433,None
KUSHITANI CAFE 舘山寺,2019-08-29,静岡県,053-523-9169,None
WORLD KITCHENS!,2019-08-29,千葉県,043-296-3011,None
カフェ＆コワーキングスペースCLIP（クリップ）,2019-08-26,大阪府,06-6624-1127,None
there,2019-08-24,京都府,075-254-8260,None
cafe unchainカフェアンチェイン,2019-08-23,福岡県,,None
ベルヴィル 心斎橋筋店,2019-08-22,大阪府,06-6245-5139,None
Hawaiian Café＆Restaurant『Merengue（メレンゲ）』たまプラーザ店,2019-08-22,神奈川県,045-532-6101,None
Cafe Renoir 横浜元町店,2019-08-20,神奈川県,045-264-6677,None
えれんなごっそCAFÉ107,2019-08-20,神奈川県,0465-23-7373,None
kico,2019-08-17,愛知県,0566-93-8030,None
Seagreen 鎌倉店,2019-08-16,神奈川県,0467-53-8466,None
PICKS（ピックス）アピタテラス横浜綱島店,2019-08-15,神奈川県,,None
日本両棲類研究所,2019-08-15,栃木県,0288-25-7186,None
T4 CAFE NAMBA （ティーフォー カフェ ナンバ）,2019-08-14,大阪府,070-1467-6802,None
Moff animal cafe COCOSA熊本店,2019-08-14,熊本県,096-285-9904,None
cafe りもねん,2019-08-14,兵庫県,078-733-0708,None
トルカリ高円寺,2019-08-13,東京都,03-5327-8682,None
g.cafe,2019-08-13,福井県,0776-66-3338,None
Cuddly Cafe,2019-08-12,群馬県,070-6640-3935,None
HELLO KITTY SHOW BOX（ハローキティショーボックス）,2019-08-12,兵庫県,0799-70-9022,None
ボードゲームカフェ らぽる,2019-08-11,東京都,042-649-3888,None
茶曜日 本郷三丁目店,2019-08-10,東京都,03-5801-0977,None
自由丁(JIYUCHO),2019-08-10,東京都,,None
きららみらい星の子カフェ,2019-08-10,大阪府,06-6965-0015,None
TeaTock（ティートック）,2019-08-10,東京都,,None
Café Beija-flor (カフェ ベイジャフロー),2019-08-10,沖縄県,090-3794-9033,None
六森 ROKUMORI,2019-08-10,兵庫県,078-806-8999,None
OZ’s BROADWAY THEATER ＆ CAFE,2019-08-09,兵庫県,079-506-6200,None
PlantBased Chick,2019-08-09,北海道,050-5368-1319,None
福吉カフェ伏古店,2019-08-09,北海道,011-792-8507,None
BON COCOTTE （ボンココット）,2019-08-09,愛知県,052-587-2621,None
eeets hall（イーツホール）,2019-08-08,神奈川県,045-545-2111,None
新在家コベヤ,2019-08-08,兵庫県,080-4490-2225,None
信和堂,2019-08-08,東京都,03-5808-9058,None
洋食cafe Ailey,2019-08-08,香川県,0877-85-3338,None
mountain△grocery（マウンテン・グロサリー）,2019-08-07,新潟県,090-6516-8626,None
浮世絵カフェ,2019-08-07,神奈川県,045-662-5446,None
福福楼,2019-08-07,北海道,080-7810-4342,None
創作料理 Bon‘d,2019-08-07,福岡県,050-3461-0489,None
ROOTS CAFE 久喜店,2019-08-07,埼玉県,,None
チェントペルチェント 久喜店,2019-08-07,埼玉県,0480-87-3266,None
Hailey’5 Café（ハイリーファイブカフェ) 上野御徒町店,2019-08-05,東京都,03-6860-2700,None
E-Sports Cafe ACADEMIA,2019-08-05,大阪府,06-4256-1767,None
バイカーズパラダイス南箱根,2019-08-05,静岡県,0460-83-5819,None
刀剣乱舞 2.5Dカフェ –秋葉原,2019-08-04,東京都,03-3253-5666,None
コミュニティー＆ダイニングスペース 茶木魚（ちゃきっと）,2019-08-04,静岡県,054-254-2115,None
Lakeside Birds Cafe,2019-08-02,愛知県,0561-35-5015,None
Route 227s’ Cafe TOHOKU,2019-08-02,宮城県,022-796-9770,None
Cafe Kurucle（カフェクルクル）,2019-08-02,愛知県,0568-65-7575,None
RICCIO 高槻店,2019-08-01,大阪府,072-668-7515,None
JTRRD cafe KYOTO,2019-08-01,京都府,080-6206-0078,None
大須ARTORYキッチン,2019-08-01,愛知県,052-321-0790,None
保護猫かふぇ リアン,2019-07-31,兵庫県,06-6426-3131,None
meet ぐらんわん！,2019-07-31,東京都,03-6805-7677,None
Cat Cafe PuPu Mignon（キャットカフェププミニョン）,2019-07-31,神奈川県,046-825-2828,None
cafe attmos （カフェ アットモス）,2019-07-31,京都府,070-1847-8818,None
橋ノ町Cafe,2019-07-29,北海道,0166-74-8828,None
食パン専門店 DEAI THE BAKERY&CAFE,2019-07-28,大阪府,0723-49-9678,None
DENDAMA&DARTS RE/D(デンダマアンドダーツリード),2019-07-27,東京都,03-6455-0301,None
カフェ＆バープロントPRONTO福岡西新店,2019-07-27,福岡県,092-834-7007,None
BESIDE SEASIDE（ビサイドシーサイド）,2019-07-26,東京都,03-5439-6506,None
ロクシタン表参道店 ヴォヤージュ センソリアル,2019-07-26,東京都,03-6721-0830,None
Cafe&Pancake GURU GURU,2019-07-26,滋賀県,077-568-0277,None
Champel,2019-07-26,福岡県,050-6875-5831,None
RESTAURANT SHIROUX,2019-07-25,沖縄県,098-953-9530,None
西宮 白菜キッチン コルチナ,2019-07-25,兵庫県,0798-55-4969,None
尾道保護猫カフェ ねこのみち,2019-07-24,広島県,0848-38-1626,None
Hawaiian Café＆Restaurant Merengue 横浜・八景島シーパラダイス店,2019-07-24,神奈川県,045-788-9750,None
カラオケバンバン 本庄店,2019-07-24,埼玉県,0495-71-7212,None
小動物園 HARRY PIGGY / Photo Studio Hari-Pigi,2019-07-23,東京都,0422-23-7728,None
FRUITS TEA & COFFEE F 自由が丘店,2019-07-23,東京都,03-6459-5715,None
OPTIMUM EATS!!,2019-07-21,東京都,03-5726-9699,None
やすらぎキッチン natury （ナチュリ）,2019-07-21,福岡県,050-5597-5903,None
ROKKOSAN SILENT RESORT CAFETERIA CAFETERIA,2019-07-20,兵庫県,078-891-0650,None
Okibi,2019-07-20,香川県,0875-24-9686,None
カプコンカフェ 池袋店,2019-07-17,東京都,03-5904-9106,None
EDW（イーディーダブル）,2019-07-17,東京都,070-2262-4445,None
AWESOME STORE & CAFE IKEBUKURO,2019-07-17,東京都,03-5944-9754,None
X-mobile Cafe shibuya（エックスモバイルカフェ シブヤ）,2019-07-16,東京都,03-6803,None
カリビアンカフェ ひたち野うしく店,2019-07-16,茨城県,0298-46-6867,None
アニメイトカフェスタンドHareza池袋,2019-07-14,東京都,03-6709-0562,None
かふぇ&小さな宿 のどか,2019-07-14,北海道,0136-55-7888,None
mea ulu cafe AKUA,2019-07-13,京都府,075-643-5123,None
MARINE-Q,2019-07-13,和歌山県,073-842-7775,None
RURAL COFFEE&SALON,2019-07-13,福井県,0770-47-6237,None
Cafe&Bar Grill MANUKA,2019-07-12,東京都,070-2294-9642,None
マライカ BAZAAR / Rainbow Cafe（レインボーカフェ）大分店,2019-07-12,大分県,097-578-6340,None
ベーカリーレストラン サンマルク イオンモール成田店,2019-07-11,千葉県,0476-37-7877,None
DINING KITCHEN＆DRINK RIPOSO(リポッソ),2019-07-10,東京都,03-3452-3033,None
ドッグラン＆カフェフォルトゥナ（FORTUNA）,2019-07-10,愛媛県,089-993-7308,None
Okaffe（オカフェ）kyoto 嵐山,2019-07-09,京都府,075,None
Water Lily Cafe ウォーターリリーカフェ,2019-07-09,茨城県,029-350-7525,None
epulor (エプロア),2019-07-08,東京都,080-8053-1067,None
Loca Bran（ロカブラン）,2019-07-08,大阪府,090-3464-8188,None
And Barissier,2019-07-08,長崎県,095-832-8123,None
向日葵の食卓,2019-07-08,埼玉県,048-581-4205,None
SALUD-VEGE DELICATESSEN,2019-07-07,石川県,0761-27-5811,None
Cafe Renoir カフェ ルノアール吉祥寺北口店,2019-07-06,東京都,0422-27-1057,None
バビーズ伊勢丹新宿店期間限定ショップ,2019-07-05,東京都,03-3352-1111,None
Three Tiers（スリーティアーズ）,2019-07-05,東京都,03-6451-2710,None
Urth Caffe（アースカフェ）星が丘テラス店,2019-07-05,愛知県,052-734-3740,None
FOOD BOAT cafe（フードボートカフェ）リバーサイド千秋店,2019-07-05,新潟県,0258-94-9712,None
ELK NEWYORK BRUNCH 浦添PARCO CITY店,2019-07-05,沖縄県,098-943-9799,None
フレンカフェ/つくしのハレン,2019-07-04,東京都,050-5217-2359,None
カフェラッテ（Caffe Latte）,2019-07-04,東京都,090-3597-4928,None
丸福珈琲店 Omelet & Busse(オムレット アンド ブッセ),2019-07-03,大阪府,06-6195-9277,None
パンとエスプレッソと嵐山庭園,2019-07-03,京都府,075-366-6850,None
ウェル フード マーケット&カフェimperfect 表参道,2019-07-03,東京都,03-6721-0766,None
CAFFE CIAO PRESSO× PIZZA CONA 難波店,2019-07-03,大阪府,06-6212-3751,None
AiiA 2.5 Theater Kobe CAFE (アイア2.5シアターコウベカフェ),2019-07-02,兵庫県,078-940-1917,None
DualY wine & tapas,2019-07-02,東京都,03-5542-0187,None
Nagisa,2019-07-01,東京都,03-6441-0994,None
#icafe,2019-07-01,兵庫県,078-381-8528,None
和レ和レ和,2019-07-01,大阪府,06-4300-3490,None
世界一小さな猫カフェ,2019-06-30,徳島県,088-655-6999,None
NINJA Cafe & Bar,2019-06-30,東京都,03-6231-7387,None
Cafe&Sobar グリチネ,2019-06-29,福岡県,092-846-8135,None
＆HANA,2019-06-28,京都府,075-255-5678,None
feel bee,2019-06-28,長崎県,080-8561-7317,None
ごはんカフェ そら,2019-06-28,兵庫県,078-798-5711,None
サンマルクカフェ 沖縄パルコシティ店,2019-06-28,沖縄県,098-917-0938,None
Tour de France CAFÉ@TOKYO powered by J SPORTS,2019-06-27,東京都,,None
SPRING GALLERY,2019-06-27,山梨県,080-3694-1199,None
餡心 ほあん堂 （HOANDO）,2019-06-27,鹿児島県,099-227-3022,None
珈琲待夢 浦添西海岸パルコシティ店,2019-06-27,沖縄県,098-871-1120,None
勉強カフェ両国スタジオ,2019-06-25,東京都,03-5669-0047,None
リトルマーメイド浦添パルコシティ店,2019-06-25,沖縄県,098-871-1128,None
Billiards & Cafe Aritto,2019-06-24,島根県,0854-21-9759,None
閑是 -KAN/ZE Muromachi-,2019-06-24,京都府,,None
アトム堂本舗 TEZUKA OSAMU SHOP & CAFE,2019-06-22,東京都,03-5246-4891,None
THEATRE E9 KYOTO（シアターE9京都）,2019-06-21,京都府,075-744-6127,None
さかなのじんべえ,2019-06-21,大阪府,06-6632-8220,None
Bay Berry Cafe,2019-06-21,和歌山県,0739-47-5025,None
うつわcafeハリス,2019-06-20,大阪府,072-646-7973,None
CROKET MIMIC TOKYO （コロッケ・ミミックトーキョー）,2019-06-19,東京都,03-6435-5220,None
ELK NEWYORK BRUNCH ゆめタウン光の森店,2019-06-19,熊本県,096-234-6369,None
Moff animal cafe イオンモール成田店,2019-06-19,千葉県,0476-29-4377,None
CIELO CAFE,2019-06-19,大分県,03-6455-2665,None
183 FUCHU FAN ZONE with BEERTERIA  PRONTO,2019-06-18,東京都,042-333-8988,None
ROBB(ロブ),2019-06-18,神奈川県,0467-50-0192,None
フードふうど,2019-06-17,愛知県,052-265-5525,None
USSU,2019-06-17,岡山県,086-236-7733,None
CAFE Tokidoki KOEIDO,2019-06-17,岡山県,086-250-5554,None
THE CITY BAKERY BRASSERIE RUBIN,2019-06-16,東京都,03-3588-1018,None
ツバキ キッチン （TSUBAKI KITCHEN）,2019-06-15,長崎県,0959-74-5600,None
DIY cafe 三宮北野坂店,2019-06-15,兵庫県,078-230-2716,None
Kitchen Cafe Tabena輪,2019-06-15,大分県,097-507-6890,None
GREEN BROTHERS 大手町店,2019-06-14,東京都,03-6225-2570,None
Bord Game Cafe みーぷるらんど,2019-06-14,岐阜県,,None
Baluko Laundry Place 江ノ島,2019-06-14,神奈川県,0466-90-4391,None
刀剣乱舞 2.5Dカフェ,2019-06-13,東京都,03-3253-5666,None
シービー＆オルフェ,2019-06-12,東京都,03-6450-0023,None
大三萬年堂HANARE,2019-06-11,東京都,03-6206-8857,None
メキシカンカフェ エルパソ,2019-06-11,栃木県,0289-78-5191,None
craft CAFE IBIS,2019-06-11,神奈川県,044-400-1299,None
Light Up Dining Infinity,2019-06-10,大阪府,06-4792-7399,None
サンマルクカフェ 横浜ビブレ店,2019-06-09,神奈川県,045-415-8108,None
このカフェ半端ないって！橋本店,2019-06-09,神奈川県,042-703-6611,None
Strawberry cafe & dining（ストロベリー カフェ & ダイニング）,2019-06-08,東京都,03-6450-5678,None
Cafe Bar OUR,2019-06-07,東京都,03-5829-6470,None
パンカラト ブーランジェリーカフェ,2019-06-07,大阪府,06-6575-7540,None
gmgm (グムグム),2019-06-05,東京都,03-6877-0537,None
Café au lait Tokyo,2019-06-05,東京都,,None
Cafe 568 COLOHA（カフェ コロハ）,2019-06-05,東京都,070-2839-8205,None
フレンチカフェ/つくしのハレン,2019-06-04,東京都,050-5217-2359,None
ブーランジェリー&カフェ サニーサイド 西宮大社店,2019-06-04,兵庫県,0798-31-2929,None
kusunoki-庵,2019-06-03,大阪府,0721-21-8758,None
海南鶏飯食堂3 表参道店,2019-06-03,東京都,03-5413-3640,None
食・呑み処 和み,2019-06-03,栃木県,0289-72-1788,None
CAFE LIFE（カフェ ライフ）,2019-06-03,東京都,03-6661-2133,None
猫喫茶 猫の箱,2019-06-02,大阪府,06-6304-2828,None
THE CITY BAKERY STUDIO TOKYO,2019-06-01,東京都,,None
JELLY JELLY CAFE 大阪心斎橋店,2019-06-01,大阪府,06-6563-7478,None
Swell Bowls（スウェルボウルズ）,2019-06-01,東京都,03-6450-3020,None
MALVAROSA Perfetto Caffè,2019-06-01,東京都,0422-38-6194,None
発酵小路 田屋,2019-06-01,,0184-74-8207,None
お茶とお食事処森山 鳥栖店,2019-06-01,佐賀県,0942-85-7810,None
ベジフルカフェ ぴよぴよ,2019-06-01,宮城県,,None
Cafe&Bar Wish,2019-05-31,群馬県,027-226-1356,None
niko and…COFFEE イオンモールナゴヤドーム前店,2019-05-30,愛知県,052-725-6799,None
HEALTHY MONSTER,2019-05-30,東京都,03-5413-7070,None
CALULUCAFE(カルルカフェ),2019-05-29,愛媛県,0898-55-8492,None
gelato pique cafe 三井アウトレットパーク 北陸小矢部店,2019-05-28,富山県,0766-92-3501,None
お茶とお食事処森山 鳥栖店,2019-05-28,佐賀県,0942-85-7810,None
DEAN & DELUCA カフェ成田空港 第1ターミナルビル,2019-05-26,千葉県,0476-32-4652,None
TOKYO L.O.C.A.L BASE,2019-05-26,東京都,03-6807-7748,None
コーヒーとフレンチトーストNICE PICNIC DAY,2019-05-26,宮城県,0225-28-6418,None
ほんのみせコトノハ,2019-05-25,東京都,,None
FASHION RENOVE,2019-05-25,愛知県,0120-26-3016,None
Le Pain Quotidien たまプラーザ店,2019-05-24,神奈川県,045-532-6490,None
ViTO COFFEE たまプラーザ店,2019-05-24,神奈川県,045-903-3138,None
季節のごはんカフェ satono,2019-05-23,大阪府,072-627-8222,None
GOOD MORNING CAFE NOWADAYS（グッドモーニングカフェナワデイズ）,2019-05-22,東京都,03-5362-7460,None
未確認生物 つちのこカフェ,2019-05-22,福島県,090-3649-0713,None
ゾンビランドサガ ZK CAFE（ズィーケー カフェ）,2019-05-22,東京都,,None
昼神キヲスク,2019-05-21,長野県,0265-49-0705,None
北新地 オーダーメイド スムージーの店 隠れ家,2019-05-20,大阪府,06-6131-6776,None
cafe loup AZ （カフェ ル アズ）,2019-05-20,埼玉県,048-708-3026,None
IKIDANE CYCLIST HOSTEL & CAFE SHIMANAMI,2019-05-19,愛媛県,0120-228-069,None
パティスリーカフェpousser（プセ）広川店,2019-05-18,福岡県,0943-24-8757,None
Nomi,2019-05-18,富山県,0763-77-4163,None
Sta. （エスティーエー）,2019-05-18,東京都,03-6455-2056,None
吉甚 バッタリ・カフェ,2019-05-18,兵庫県,0799-53-6665,None
ロブ イナベ ヒュッテ,2019-05-17,三重県,0564-77-7170,None
CROSSROAD BAKERY ＆ CAFÉ南円山,2019-05-16,北海道,011-211-8187,None
Baluko Laundry Place南円山,2019-05-16,北海道,011-211-8187,None
cafe fermata,2019-05-14,埼玉県,049-215-9246,None
食堂カフェpotto×タニタカフェフレンドタウン交野店,2019-05-13,大阪府,072-807-8557,None
保護猫カフェさくら,2019-05-12,埼玉県,080-7715-7321,None
85st coffee エイティファイブストリートコーヒー 大阪店,2019-05-12,大阪府,06-4301-4685,None
資生堂パーラー 自由が丘店,2019-05-11,東京都,03-3718-7620,None
BUCO cafe,2019-05-11,長崎県,080-2393-7209,None
綿茶 神田店,2019-05-10,東京都,03-3525-4242,None
RESTAURANT  シルー イノベーティブ,2019-05-09,沖縄県,098-983-3019,None
かふぇ のぶちゃん,2019-05-09,大阪府,090-3161-8331,None
Cafe Afrodite (カフェ アフロディーテ),2019-05-08,栃木県,070-3350-2421,None
パンケーキカフェcafeblow和泉府中店,2019-05-06,大阪府,080-2412-3192,None
葵LIBERO（葵リベロ）,2019-05-01,兵庫県,078-381-8440,None
OKI olive garden cafe オキオリーブガーデンカフェ,2019-05-01,香川県,080-1623-7772,None
Curry&Cafe SAMA 神田店,2019-05-01,東京都,03-5826-8983,None
HARIYO,2019-05-01,大分県,090-3417-4450,None
Cafe Cuore （カフェ・クオーレ）,2019-05-01,兵庫県,072-777-5050,None
PEACE&MOSH,2019-04-30,広島県,082-533-6088,None
嵜本ベーカリーカフェ,2019-04-30,大阪府,06-6634-6800,None
将棋カフェ COBIN (コビン),2019-04-28,東京都,03-5937-0613,None
SLOW JET COFFEE COOKIE スロージェットコーヒークッキー,2019-04-28,茨城県,029-825-0818,None
プレイリードッグCAFE POTBELLY,2019-04-28,兵庫県,078-241-0805,None
しろいしほっこり・にっこりくらぶ いきいきふれあいサロン,2019-04-27,宮城県,090-4550-5066,None
CARVAANCRAFTBEER＆GRILL,2019-04-27,埼玉県,042-978-7907,None
Pot&Cook,2019-04-27,千葉県,0475-42-1554,None
Cafe style,2019-04-26,福岡県,0942-45-4555,None
デリカフェ・キッチン京都,2019-04-26,京都府,075-744-6634,None
WHITE GLASS COFFEE FUKUOKA,2019-04-26,福岡県,092-483-1559,None
neu.cafe ノイカフェ万博入口前店,2019-04-26,大阪府,06-6878-5137,None
BABY FACE PLANET’S 長久手店,2019-04-26,愛知県,0561-64-7753,None
雪ノ下 近藤正文と薫,2019-04-26,静岡県,0559-57-4557,None
檸檬とスパイス フレンチトースト イオンモール沖縄ライカム店,2019-04-25,沖縄県,098-932-7117,None
椿屋カフェ 池袋東口店,2019-04-25,東京都,03-6912-6864,None
THE DANSHAKU LOUNGE,2019-04-25,北海道,0138-82-8888,None
サンマルクカフェ イズミヤカナートモール和泉府中店,2019-04-25,大阪府,0725-90-7990,None
メゾンカイザーテーブル博多店,2019-04-25,福岡県,092-409-3634,None
NISEKO BASE CAFE,2019-04-25,北海道,0136-55-5538,None
Ron Herman cafe 神戸店,2019-04-25,兵庫県,078-333-6836,None
TERRACE CAFE IPPEKIKO,2019-04-25,静岡県,0557-45-0101,None
Café Fete le marche,2019-04-25,神奈川県,044-299-9833,None
宮島 りらっくま茶房,2019-04-24,広島県,,None
365cafe（サンロクゴカフェ）西武渋谷店,2019-04-24,東京都,03-3461-8819,None
花カフェ Trajet -トラジェ-,2019-04-24,東京都,042-377-0756,None
アニメイトカフェグラッテ大阪日本橋,2019-04-24,大阪府,06-6636-0628,None
タマ＆フレンズ 3丁目カフェ,2019-04-24,東京都,070-6661-9372,None
sweets cafe Sora,2019-04-24,千葉県,0438-80-9549,None
和カフェyusoshi あべの,2019-04-24,大阪府,06-6629-3111,None
エクセルシオール カフェ 仙台長命ヶ丘店,2019-04-23,宮城県,022-342-0688,None
CAFE 202 ブランチ仙台店,2019-04-23,宮城県,022-341-5822,None
PRONTO(プロント) 湘南藤沢OPA店,2019-04-23,神奈川県,0466-90-5228,None
Logic,2019-04-23,愛知県,052-718-1293,None
サンマルクカフェ モレラ岐阜店,2019-04-22,岐阜県,058-260-7309,None
Cafe+ Dining Sayu,2019-04-22,愛知県,052-737-8606,None
灯 by台湾甜品研究所 武蔵小杉店,2019-04-21,神奈川県,044-948-8835,None
並木カフェ メタセコイア,2019-04-21,滋賀県,0740,None
アニメイトカフェグラッテ大阪日本橋,2019-04-20,大阪府,06-6636-0628,None
シチノカフェ イオンモール名取店,2019-04-20,宮城県,022,None
金澤やまぎし養蜂場 大桑店,2019-04-19,石川県,076-244-3388,None
ホリーズカフェ イズミヤ堅田店,2019-04-19,滋賀県,,None
さかい河岸レストラン 茶蔵,2019-04-19,茨城県,0280-87-5011,None
Sea Table シーテーブル,2019-04-19,神奈川県,,None
READING STYLE あべの,2019-04-18,大阪府,06-4703-5881,None
BAKERY RESTAURANT TERME2,2019-04-18,神奈川県,045-414-1940,None
Cafe Littlepine,2019-04-18,大阪府,0721-21-8669,None
ティファニー＠キャットストリート,2019-04-18,東京都,0120-488-712,None
房総の駅 とみうらカフェ,2019-04-18,千葉県,0470-28-5401,None
FLOW,2019-04-16,福岡県,092-716-4556,None
Belle côte,2019-04-15,大分県,0978-72-0707,None
灯(あかり) 名古屋店,2019-04-14,愛知県,052-414-4565,None
新潟の四季 風土(にいがたのしき ふーど),2019-04-14,新潟県,0256-64-8062,None
bell-ville（ベルヴィル） 岸和田カンカンベイサイドモール店,2019-04-14,大阪府,072-430-6666,None
share living cafe BEANS 石引店,2019-04-14,石川県,076-222-2227,None
宮島 りらっくま茶房,2019-04-13,広島県,,None
みちのcafe,2019-04-13,愛知県,0561-72-2301,None
Cosmic Girl Cafe,2019-04-13,東京都,03-6812-9306,None
moms+kitchen&cafe,2019-04-13,大阪府,072-813-9924,None
CAFE HELLO,2019-04-13,東京都,03-3411-8877,None
Cafe ＆ bar umineko,2019-04-12,岩手県,0193-55-6522,None
Cafe Hamayui,2019-04-12,岩手県,0193-55-6616,None
&COFFEE MAISON KAYSER 幕張店,2019-04-12,千葉県,043-307-4180,None
oiseau bleu,2019-04-11,,026-285-0803,None
cafe&bar moani(モアニ),2019-04-11,福岡県,092-287-5558,None
MOCHAJAVA CAFE PARKSIDE（モカジャバ カフェ パークサイド）,2019-04-11,福岡県,092-716-4556,None
吉祥なおきち,2019-04-10,東京都,070-1399-7028,None
OG CAFE,2019-04-10,大阪府,072-697-8179,None
+コハクテラス （+kohakuterrace）,2019-04-10,長野県,026-258-2501,None
キハチ カフェ ペリエ千葉,2019-04-09,千葉県,043-441-7168,None
ベーカリーカフェ copain est（コパン エスト）,2019-04-08,栃木県,028-633-7455,None
レストラン＆カフェGARB COSTA ORANGE,2019-04-07,兵庫県,0799-85-1000,None
カフェ＆トラットリア ミケランジェロ 広尾,2019-04-07,東京都,03-3448-0643,None
CROSSING FINGERS（クロッシングフィンガーズ）,2019-04-07,沖縄県,098-894-8338,None
Loco Cafe Drive-In （ロコカフェ ドライブイン）,2019-04-07,大阪府,06-6776-2111,None
カフェコムサ仙台パルコ店,2019-04-06,宮城県,022-397-9448,None
BALLY CAFE （バリー カフェ）,2019-04-06,東京都,03-6264-5471,None
JTRRD cafe nagoya（ジェイティード カフェ名古屋）,2019-04-05,愛知県,052-242-7551,None
Kushitani CAFE 阿蘇店,2019-04-05,熊本県,,None
cafe 木曜日のくしゃみ,2019-04-05,長崎県,095-826-6787,None
四郷カフェ,2019-04-05,和歌山県,0736-25-0450,None
シズラー東京国際フォーラム店,2019-04-04,東京都,03-3211-2205,None
ねこぱふぇ,2019-04-03,三重県,0598-54-1487,None
Cafe Panino カフェ パニーノ,2019-04-02,北海道,,None
Мир cafe （ミール カフェ）,2019-04-02,愛知県,0564-83-5882,None
KITCHEN+CAFE うみとやま,2019-04-01,茨城県,,None
foret cafe （フォレカフェ）,2019-04-01,兵庫県,078-945-6243,None
紅茶とチーズケーキの店 グランパ,2019-04-01,北海道,0166-73-3464,None
grill＆deli LAVE,2019-04-01,広島県,082-258-5353,None
3＋3CAFE,2019-04-01,神奈川県,0466-23-3939,None
e-SportsインターネットカフェFIGHTERS,2019-03-31,栃木県,0285-38-6181,None
otomo.,2019-03-31,宮城県,,None
わいんや,2019-03-31,静岡県,053-454-8259,None
JUNO（ジュノ） 自由が丘本店,2019-03-30,東京都,03-5758-2557,None
スズメノツノ,2019-03-29,東京都,090-4446-4649,None
Cafe de Lyon Palette,2019-03-29,愛知県,052-508-5544,None
伊右衛⾨サロンアトリエ京都,2019-03-28,京都府,075-744-6451,None
ベーカリーレストランサンマルク ララガーデン長町店,2019-03-28,宮城県,022-399-8733,None
